Sample,Timestamp_us,Intensity
0,250,459
1,500,463
2,750,460
3,1000,462
4,1250,459
5,1500,460
6,1750,455
7,2000,462
8,2250,459
9,2500,460
10,2750,462
11,3000,465
12,3250,459
13,3500,459
14,3750,460
15,4000,463
16,4250,465
17,4500,459
18,4750,463
19,5000,460
20,5250,460
21,5500,456
22,5750,460
23,6000,461
24,6250,456
25,6500,458
26,6750,455
27,7000,462
28,7250,459
29,7500,455
30,7750,455
31,8000,457
32,8250,454
33,8500,460
34,8750,458
35,9000,458
36,9250,463
37,9500,459
38,9750,456
39,10000,462
40,10250,460
41,10500,459
42,10750,454
43,11000,455
44,11250,459
45,11500,455
46,11750,460
47,12000,456
48,12250,460
49,12500,458
50,12750,458
51,13000,457
52,13250,462
53,13500,456
54,13750,460
55,14000,454
56,14250,464
57,14500,454
58,14750,459
59,15000,456
60,15250,459
61,15500,455
62,15750,455
63,16000,456
64,16250,453
65,16500,449
66,16750,452
67,17000,462
68,17250,456
69,17500,458
70,17750,453
71,18000,454
72,18250,456
73,18500,456
74,18750,455
75,19000,455
76,19250,453
77,19500,455
78,19750,458
79,20000,456
80,20250,455
81,20500,464
82,20750,462
83,21000,459
84,21250,458
85,21500,463
86,21750,463
87,22000,458
88,22250,456
89,22500,464
90,22750,460
91,23000,459
92,23250,460
93,23500,464
94,23750,452
95,24000,458
96,24250,465
97,24500,454
98,24750,460
99,25000,464
100,25250,456
101,25500,454
102,25750,460
103,26000,463
104,26250,463
105,26500,464
106,26750,460
107,27000,465
108,27250,463
109,27500,462
110,27750,460
111,28000,456
112,28250,465
113,28500,462
114,28750,465
115,29000,466
116,29250,467
117,29500,466
118,29750,467
119,30000,466
120,30250,469
121,30500,467
122,30750,466
123,31000,465
124,31250,468
125,31500,466
126,31750,465
127,32000,465
128,32250,465
129,32500,468
130,32750,465
131,33000,468
132,33250,467
133,33500,470
134,33750,464
135,34000,466
136,34250,465
137,34500,468
138,34750,462
139,35000,463
140,35250,466
141,35500,462
142,35750,459
143,36000,462
144,36250,463
145,36500,464
146,36750,463
147,37000,458
148,37250,458
149,37500,459
150,37750,462
151,38000,460
152,38250,464
153,38500,465
154,38750,465
155,39000,456
156,39250,454
157,39500,458
158,39750,462
159,40000,460
160,40250,464
161,40500,468
162,40750,465
163,41000,465
164,41250,465
165,41500,468
166,41750,464
167,42000,464
168,42250,465
169,42500,466
170,42750,463
171,43000,462
172,43250,464
173,43500,465
174,43750,465
175,44000,465
176,44250,465
177,44500,465
178,44750,464
179,45000,465
180,45250,465
181,45500,465
182,45750,466
183,46000,465
184,46250,465
185,46500,465
186,46750,465
187,47000,465
188,47250,464
189,47500,465
190,47750,464
191,48000,467
192,48250,465
193,48500,469
194,48750,466
195,49000,472
196,49250,467
197,49500,469
198,49750,470
199,50000,475
200,50250,468
201,50500,466
202,50750,467
203,51000,472
204,51250,471
205,51500,472
206,51750,465
207,52000,467
208,52250,465
209,52500,465
210,52750,472
211,53000,470
212,53250,468
213,53500,466
214,53750,466
215,54000,475
216,54250,469
217,54500,476
218,54750,470
219,55000,474
220,55250,471
221,55500,472
222,55750,472
223,56000,471
224,56250,467
225,56500,469
226,56750,462
227,57000,469
228,57250,469
229,57500,471
230,57750,466
231,58000,470
232,58250,468
233,58500,468
234,58750,467
235,59000,466
236,59250,471
237,59500,465
238,59750,467
239,60000,465
240,60250,468
241,60500,465
242,60750,465
243,61000,466
244,61250,468
245,61500,468
246,61750,465
247,62000,470
248,62250,465
249,62500,466
250,62750,469
251,63000,467
252,63250,467
253,63500,465
254,63750,467
255,64000,465
256,64250,465
257,64500,475
258,64750,472
259,65000,470
260,65250,470
261,65500,467
262,65750,467
263,66000,470
264,66250,469
265,66500,468
266,66750,470
267,67000,470
268,67250,472
269,67500,472
270,67750,471
271,68000,472
272,68250,467
273,68500,467
274,68750,470
275,69000,469
276,69250,472
277,69500,465
278,69750,465
279,70000,473
280,70250,468
281,70500,470
282,70750,472
283,71000,472
284,71250,465
285,71500,472
286,71750,467
287,72000,465
288,72250,469
289,72500,465
290,72750,465
291,73000,465
292,73250,466
293,73500,466
294,73750,467
295,74000,472
296,74250,478
297,74500,467
298,74750,470
299,75000,470
300,75250,467
301,75500,467
302,75750,467
303,76000,475
304,76250,471
305,76500,464
306,76750,465
307,77000,466
308,77250,465
309,77500,468
310,77750,466
311,78000,472
312,78250,466
313,78500,465
314,78750,475
315,79000,470
316,79250,468
317,79500,465
318,79750,472
319,80000,468
320,80250,469
321,80500,465
322,80750,465
323,81000,463
324,81250,458
325,81500,465
326,81750,465
327,82000,465
328,82250,465
329,82500,463
330,82750,465
331,83000,459
332,83250,459
333,83500,459
334,83750,461
335,84000,462
336,84250,462
337,84500,460
338,84750,464
339,85000,462
340,85250,464
341,85500,461
342,85750,464
343,86000,464
344,86250,467
345,86500,456
346,86750,461
347,87000,465
348,87250,456
349,87500,458
350,87750,464
351,88000,465
352,88250,460
353,88500,465
354,88750,460
355,89000,464
356,89250,460
357,89500,465
358,89750,466
359,90000,465
360,90250,465
361,90500,464
362,90750,464
363,91000,463
364,91250,462
365,91500,464
366,91750,460
367,92000,464
368,92250,462
369,92500,466
370,92750,456
371,93000,461
372,93250,465
373,93500,460
374,93750,460
375,94000,458
376,94250,460
377,94500,458
378,94750,458
379,95000,461
380,95250,460
381,95500,462
382,95750,463
383,96000,463
384,96250,464
385,96500,463
386,96750,456
387,97000,456
388,97250,452
389,97500,459
390,97750,456
391,98000,454
392,98250,460
393,98500,456
394,98750,459
395,99000,456
396,99250,458
397,99500,458
398,99750,462
399,100000,459
400,100250,459
401,100500,460
402,100750,460
403,101000,463
404,101250,462
405,101500,464
406,101750,464
407,102000,464
408,102250,460
409,102500,465
410,102750,460
411,103000,465
412,103250,464
413,103500,459
414,103750,462
415,104000,462
416,104250,460
417,104500,464
418,104750,464
419,105000,462
420,105250,463
421,105500,462
422,105750,464
423,106000,460
424,106250,465
425,106500,456
426,106750,462
427,107000,458
428,107250,464
429,107500,463
430,107750,460
431,108000,458
432,108250,460
433,108500,456
434,108750,462
435,109000,463
436,109250,465
437,109500,461
438,109750,459
439,110000,462
440,110250,465
441,110500,463
442,110750,462
443,111000,462
444,111250,463
445,111500,462
446,111750,463
447,112000,458
448,112250,456
449,112500,465
450,112750,462
451,113000,465
452,113250,465
453,113500,465
454,113750,464
455,114000,466
456,114250,464
457,114500,465
458,114750,462
459,115000,463
460,115250,465
461,115500,465
462,115750,464
463,116000,465
464,116250,465
465,116500,463
466,116750,462
467,117000,465
468,117250,465
469,117500,465
470,117750,465
471,118000,465
472,118250,465
473,118500,467
474,118750,465
475,119000,465
476,119250,461
477,119500,463
478,119750,463
479,120000,463
480,120250,465
481,120500,464
482,120750,465
483,121000,469
484,121250,466
485,121500,466
486,121750,465
487,122000,464
488,122250,465
489,122500,464
490,122750,466
491,123000,464
492,123250,465
493,123500,465
494,123750,465
495,124000,466
496,124250,459
497,124500,465
498,124750,465
499,125000,465
500,125250,462
501,125500,465
502,125750,466
503,126000,462
504,126250,464
505,126500,466
506,126750,465
507,127000,467
508,127250,464
509,127500,465
510,127750,466
511,128000,471
512,128250,465
513,128500,467
514,128750,463
515,129000,468
516,129250,468
517,129500,468
518,129750,469
519,130000,468
520,130250,468
521,130500,471
522,130750,479
523,131000,478
524,131250,468
525,131500,467
526,131750,471
527,132000,472
528,132250,475
529,132500,472
530,132750,466
531,133000,467
532,133250,478
533,133500,470
534,133750,471
535,134000,472
536,134250,475
537,134500,476
538,134750,485
539,135000,471
540,135250,472
541,135500,474
542,135750,470
543,136000,476
544,136250,472
545,136500,480
546,136750,469
547,137000,470
548,137250,475
549,137500,471
550,137750,472
551,138000,467
552,138250,469
553,138500,468
554,138750,467
555,139000,467
556,139250,466
557,139500,472
558,139750,467
559,140000,469
560,140250,469
561,140500,469
562,140750,468
563,141000,466
564,141250,466
565,141500,474
566,141750,467
567,142000,470
568,142250,471
569,142500,471
570,142750,467
571,143000,472
572,143250,474
573,143500,467
574,143750,468
575,144000,468
576,144250,471
577,144500,471
578,144750,471
579,145000,472
580,145250,470
581,145500,470
582,145750,471
583,146000,482
584,146250,477
585,146500,478
586,146750,479
587,147000,474
588,147250,479
589,147500,477
590,147750,477
591,148000,470
592,148250,475
593,148500,471
594,148750,473
595,149000,472
596,149250,472
597,149500,474
598,149750,479
599,150000,472
600,150250,474
601,150500,472
602,150750,472
603,151000,474
604,151250,475
605,151500,473
606,151750,474
607,152000,475
608,152250,478
609,152500,476
610,152750,471
611,153000,472
612,153250,475
613,153500,470
614,153750,476
615,154000,480
616,154250,478
617,154500,474
618,154750,472
619,155000,479
620,155250,470
621,155500,471
622,155750,468
623,156000,468
624,156250,472
625,156500,470
626,156750,470
627,157000,470
628,157250,465
629,157500,468
630,157750,468
631,158000,470
632,158250,467
633,158500,472
634,158750,469
635,159000,480
636,159250,471
637,159500,466
638,159750,472
639,160000,470
640,160250,470
641,160500,466
642,160750,466
643,161000,465
644,161250,475
645,161500,468
646,161750,471
647,162000,468
648,162250,467
649,162500,470
650,162750,467
651,163000,471
652,163250,470
653,163500,469
654,163750,465
655,164000,474
656,164250,470
657,164500,468
658,164750,472
659,165000,469
660,165250,476
661,165500,472
662,165750,470
663,166000,470
664,166250,468
665,166500,471
666,166750,467
667,167000,472
668,167250,471
669,167500,475
670,167750,468
671,168000,471
672,168250,470
673,168500,467
674,168750,469
675,169000,465
676,169250,466
677,169500,472
678,169750,470
679,170000,470
680,170250,472
681,170500,474
682,170750,469
683,171000,468
684,171250,475
685,171500,468
686,171750,478
687,172000,471
688,172250,470
689,172500,469
690,172750,467
691,173000,468
692,173250,466
693,173500,470
694,173750,475
695,174000,468
696,174250,466
697,174500,470
698,174750,466
699,175000,469
700,175250,466
701,175500,472
702,175750,468
703,176000,465
704,176250,470
705,176500,465
706,176750,464
707,177000,454
708,177250,462
709,177500,461
710,177750,462
711,178000,463
712,178250,464
713,178500,464
714,178750,465
715,179000,465
716,179250,463
717,179500,465
718,179750,464
719,180000,465
720,180250,462
721,180500,462
722,180750,463
723,181000,464
724,181250,465
725,181500,467
726,181750,465
727,182000,463
728,182250,465
729,182500,463
730,182750,465
731,183000,458
732,183250,463
733,183500,462
734,183750,465
735,184000,462
736,184250,463
737,184500,463
738,184750,464
739,185000,463
740,185250,463
741,185500,463
742,185750,464
743,186000,465
744,186250,468
745,186500,462
746,186750,465
747,187000,462
748,187250,464
749,187500,466
750,187750,464
751,188000,462
752,188250,458
753,188500,460
754,188750,455
755,189000,462
756,189250,464
757,189500,462
758,189750,461
759,190000,465
760,190250,460
761,190500,465
762,190750,463
763,191000,458
764,191250,465
765,191500,460
766,191750,461
767,192000,463
768,192250,463
769,192500,464
770,192750,465
771,193000,465
772,193250,464
773,193500,468
774,193750,468
775,194000,465
776,194250,467
777,194500,471
778,194750,467
779,195000,472
780,195250,467
781,195500,472
782,195750,472
783,196000,475
784,196250,477
785,196500,472
786,196750,469
787,197000,472
788,197250,472
789,197500,469
790,197750,470
791,198000,474
792,198250,470
793,198500,467
794,198750,471
795,199000,468
796,199250,468
797,199500,468
798,199750,468
799,200000,468
800,200250,469
801,200500,468
802,200750,471
803,201000,476
804,201250,467
805,201500,469
806,201750,470
807,202000,475
808,202250,471
809,202500,469
810,202750,469
811,203000,472
812,203250,471
813,203500,464
814,203750,465
815,204000,466
816,204250,464
817,204500,465
818,204750,465
819,205000,470
820,205250,468
821,205500,467
822,205750,468
823,206000,470
824,206250,470
825,206500,468
826,206750,468
827,207000,466
828,207250,471
829,207500,467
830,207750,465
831,208000,466
832,208250,471
833,208500,472
834,208750,466
835,209000,467
836,209250,468
837,209500,465
838,209750,467
839,210000,470
840,210250,471
841,210500,475
842,210750,468
843,211000,466
844,211250,474
845,211500,467
846,211750,465
847,212000,466
848,212250,470
849,212500,471
850,212750,471
851,213000,467
852,213250,465
853,213500,472
854,213750,475
855,214000,472
856,214250,471
857,214500,467
858,214750,470
859,215000,466
860,215250,469
861,215500,465
862,215750,472
863,216000,465
864,216250,472
865,216500,468
866,216750,470
867,217000,468
868,217250,465
869,217500,469
870,217750,471
871,218000,465
872,218250,465
873,218500,465
874,218750,466
875,219000,468
876,219250,474
877,219500,465
878,219750,467
879,220000,465
880,220250,466
881,220500,466
882,220750,465
883,221000,465
884,221250,465
885,221500,465
886,221750,465
887,222000,465
888,222250,466
889,222500,465
890,222750,472
891,223000,465
892,223250,465
893,223500,467
894,223750,470
895,224000,467
896,224250,472
897,224500,468
898,224750,468
899,225000,474
900,225250,478
901,225500,471
902,225750,472
903,226000,467
904,226250,472
905,226500,468
906,226750,465
907,227000,466
908,227250,472
909,227500,477
910,227750,470
911,228000,468
912,228250,471
913,228500,474
914,228750,471
915,229000,472
