Frequency_Hz,Amplitude
0,8.39E-16
0.16400164,69.52109027
0.32800328,28.32066928
0.49200492,14.52867873
0.65600656,29.27089696
0.8200082,16.0498269
0.98400984,17.25492255
1.14801148,14.36421718
1.31201312,23.62146738
1.47601476,13.50951377
1.6400164,10.09088409
1.80401804,16.81560583
1.96801968,22.29100467
2.13202132,11.73461858
2.29602296,15.09029093
2.4600246,16.05360297
2.62402624,25.29050215
2.78802788,21.65827387
2.95202952,11.70680865
3.11603116,16.17014739
3.2800328,27.86307553
3.44403444,18.64130376
3.60803608,5.656617392
3.77203772,18.94841508
3.93603936,25.71482081
4.100041,4.199938184
4.26404264,5.093351938
4.42804428,14.67000574
4.59204592,19.45538267
4.75604756,9.373711613
4.9200492,4.231134954
5.084050841,15.50988559
5.248052481,22.29735066
5.412054121,13.30998376
5.576055761,9.696217752
5.740057401,15.22295564
5.904059041,25.84023104
6.068060681,16.02762655
6.232062321,2.862475223
6.396063961,19.17968895
6.560065601,23.7276396
6.724067241,8.982586974
6.888068881,6.123827842
7.052070521,14.16225942
7.216072161,17.47435344
7.380073801,1.999471164
7.544075441,1.90827253
7.708077081,13.20369935
7.872078721,15.33604731
8.036080361,6.739625785
8.200082001,4.18157407
8.364083641,18.72893892
8.528085281,19.45971379
8.692086921,11.31670027
8.856088561,10.32397305
9.020090201,13.96438591
9.184091841,23.41869461
9.348093481,13.3195964
9.512095121,5.622567393
9.676096761,19.61403996
9.840098401,19.11457961
10.00410004,7.008310914
10.16810168,3.638968762
10.33210332,13.16642339
10.49610496,14.97997576
10.6601066,6.540754408
10.82410824,3.190305845
10.98810988,10.75113642
11.15211152,15.23520225
11.31611316,7.498635354
11.4801148,4.419135956
11.64411644,15.26252189
11.80811808,17.85651287
11.97211972,10.63659496
12.13612136,4.846522418
12.300123,13.50358157
12.46412464,16.73858101
12.62812628,9.270480643
12.79212792,2.956484748
12.95612956,10.29382194
13.1201312,15.42978988
13.28413284,0.925556197
13.44813448,0.391499696
13.61213612,9.582141874
13.77613776,11.87453244
13.9401394,3.076638945
14.10414104,3.925271683
14.26814268,9.399271175
14.43214432,14.53571186
14.59614596,3.198100766
14.7601476,2.631249225
14.92414924,10.2881349
15.08815088,13.64368276
15.25215252,2.671523676
15.41615416,3.270687271
15.5801558,10.66428346
15.74415744,12.1094463
15.90815908,2.980174702
16.07216072,2.798298826
16.23616236,6.884134903
16.400164,12.83029268
16.56416564,3.688284914
16.72816728,4.488776007
16.89216892,10.90999196
17.05617056,11.68388842
17.2201722,4.084902645
17.38417384,4.45802465
17.54817548,12.46443438
17.71217712,16.53368607
17.87617876,2.273453892
18.0401804,3.380184956
18.20418204,12.80282692
18.36818368,10.34076345
18.53218532,3.29191074
18.69618696,2.005791871
18.8601886,7.329857328
19.02419024,9.874399787
19.18819188,3.176497025
19.35219352,5.577830036
19.51619516,5.769908917
19.6801968,9.184209344
19.84419844,6.231005363
20.00820008,6.078838767
20.17220172,11.90423075
20.33620336,10.19365571
20.500205,6.390363555
20.66420664,6.559600304
20.82820828,12.8672802
20.99220992,13.59730594
21.15621156,2.010109923
21.3202132,2.543040765
21.48421484,12.13223521
21.64821648,9.072894733
21.81221812,1.383724448
21.97621976,0.734796918
22.1402214,5.203550827
22.30422304,6.458391173
22.46822468,3.7762332
22.63222632,7.51305259
22.79622796,6.158106254
22.9602296,6.250786003
23.12423124,7.933557292
23.28823288,7.757905626
23.45223452,10.03919198
23.61623616,9.592545327
23.7802378,7.731891688
23.94423944,8.290432787
24.10824108,12.52822444
24.27224272,10.92723278
24.43624436,5.035919306
24.600246,3.590190921
24.76424764,13.35403133
24.92824928,8.655386441
25.09225092,2.708302803
25.25625256,3.706557464
25.4202542,7.325134328
25.58425584,5.975799709
25.74825748,3.922330079
25.91225912,8.980081382
26.07626076,8.272174135
26.2402624,8.185728967
26.40426404,8.48972943
26.56826568,7.052503548
26.73226732,10.44278598
26.89626896,11.11894231
27.0602706,5.966643368
27.22427224,6.341672885
27.38827388,12.7011724
27.55227552,9.163859972
27.71627716,5.044360738
27.8802788,2.990368621
28.04428044,11.45626034
28.20828208,6.14776235
28.37228372,4.725636444
28.53628536,7.805405546
28.700287,8.755656246
28.86428864,5.943129881
29.02829028,3.883903436
29.19229192,7.496994739
29.35629356,7.897892309
29.5202952,9.805436488
29.68429684,5.495641354
29.84829848,6.265851102
30.01230012,8.798303478
30.17630176,8.75473289
30.3403034,4.334822653
30.50430504,3.839515634
30.66830668,9.616926189
30.83230832,7.167984952
30.99630996,7.092590576
31.1603116,3.85672865
31.32431324,7.310336945
31.48831488,4.315615662
31.65231652,6.713436094
31.81631816,8.35123165
31.9803198,8.548365951
32.14432144,5.849690511
32.30832308,8.778385776
32.47232472,8.371113097
32.63632636,10.29822417
32.800328,11.07558684
32.96432964,4.533530532
33.12833128,6.683009138
33.29233292,10.62409384
33.45633456,9.753876729
33.6203362,5.097126565
33.78433784,2.125910838
33.94833948,8.474796629
34.11234112,9.014454813
34.27634276,6.152571848
34.4403444,2.066056393
34.60434604,9.877953931
34.76834768,3.971517582
34.93234932,5.679168379
35.09635096,5.409037973
35.2603526,9.14019217
35.42435424,7.236558755
35.58835588,6.90535036
35.75235752,6.316207897
35.91635916,12.04670763
36.0803608,7.996751346
36.24436244,2.983696089
36.40836408,3.75837523
36.57236572,11.1976739
36.73636736,10.11708901
36.900369,3.606769628
37.06437064,0.407954081
37.22837228,9.897810324
37.39237392,7.111956205
37.55637556,5.272918884
37.7203772,2.563629921
37.88437884,9.879074673
38.04838048,1.784907478
38.21238212,3.922429763
38.37638376,4.467218618
38.5403854,7.281971718
38.70438704,5.30688881
38.86838868,4.689208319
39.03239032,3.563248102
39.19639196,12.55937067
39.3603936,6.15481756
39.52439524,2.263208401
39.68839688,1.961200753
39.85239852,9.890236472
40.01640016,7.546906666
40.1804018,3.78642686
40.34440344,2.025259324
40.50840508,10.94854053
40.67240672,3.691188797
40.83640836,6.835999526
41.00041,2.876969591
41.16441164,9.397311941
41.32841328,1.521242056
41.49241492,3.321276712
41.65641656,2.5607469
41.8204182,7.198045613
41.98441984,3.172178091
42.14842148,3.515329475
42.31242312,1.765708416
42.47642476,10.32493372
42.6404264,3.960537338
42.80442804,3.270581783
42.96842968,1.955798928
43.13243132,10.60575256
43.29643296,4.343279453
43.4604346,3.514530275
43.62443624,3.0892799
43.78843788,10.84361648
43.95243952,2.309849811
44.11644116,7.909562503
44.2804428,0.931635372
44.44444444,9.061839361
44.60844608,1.149565946
44.77244772,3.957869626
44.93644936,2.520071988
45.100451,9.759648167
45.26445264,3.531954451
45.42845428,2.824705167
45.59245592,2.41545028
45.75645756,8.179269522
45.9204592,2.844253797
46.08446084,4.014217024
46.24846248,1.907678421
46.41246412,9.123574545
46.57646576,4.342707313
46.7404674,4.590350018
46.90446904,2.587495976
47.06847068,10.72149859
47.23247232,2.041748188
47.39647396,9.441373795
47.5604756,2.325450466
47.72447724,8.609754649
47.88847888,2.282842567
48.05248052,6.237711488
48.21648216,1.482142993
48.3804838,8.238422462
48.54448544,4.425792359
48.70848708,8.060154059
48.87248872,2.478864793
49.03649036,7.053343431
49.200492,3.415231027
49.36449364,7.978944432
49.52849528,2.966694221
49.69249692,5.757959631
49.85649856,4.768314681
50.02050021,7.57996011
50.18450185,5.007967848
50.34850349,8.050675758
50.51250513,1.6362537
50.67650677,9.909199462
50.84050841,2.80309464
51.00451005,6.203973496
51.16851169,3.810654436
51.33251333,8.327146825
51.49651497,2.923057328
51.66051661,5.799527347
51.82451825,4.209305241
51.98851989,9.112949835
52.15252153,2.513724573
52.31652317,5.865196744
52.48052481,5.325601215
52.64452645,7.809782227
52.80852809,2.156690308
52.97252973,4.0289082
53.13653137,4.068464911
53.30053301,8.564885894
53.46453465,5.041973513
53.62853629,5.934229567
53.79253793,1.670998017
53.95653957,7.261856037
54.12054121,4.918124757
54.28454285,4.876110975
54.44854449,3.967098022
54.61254613,7.372592264
54.77654777,4.123101772
54.94054941,6.870921094
55.10455105,5.164471035
55.26855269,8.38731919
55.43255433,4.855851365
55.59655597,5.329024687
55.76055761,7.867439558
55.92455925,7.470072619
56.08856089,2.21237847
56.25256253,4.850500317
56.41656417,4.74465228
56.58056581,8.042191286
56.74456745,5.620560996
56.90856909,6.074682935
57.07257073,4.446630622
57.23657237,8.555417143
57.40057401,5.757189167
57.56457565,4.100097488
57.72857729,5.200895088
57.89257893,7.347622306
58.05658057,5.309191758
58.22058221,5.22201505
58.38458385,6.520393728
58.54858549,8.281041834
58.71258713,4.732469275
58.87658877,2.253509672
59.04059041,8.373527885
59.20459205,6.611503532
59.36859369,2.298505987
59.53259533,5.26587697
59.69659697,4.772088887
59.86059861,7.385755525
60.02460025,4.618437577
60.18860189,5.905149205
60.35260353,4.069538038
60.51660517,8.261583077
60.68060681,3.752361629
60.84460845,4.609306581
61.00861009,5.405563306
61.17261173,6.543076687
61.33661337,4.715705212
61.50061501,4.20488254
61.66461665,5.354412733
61.82861829,8.026608204
61.99261993,3.061205178
62.15662157,1.851099593
62.32062321,6.780485217
62.48462485,3.681076068
62.64862649,1.017681617
62.81262813,5.668144
62.97662977,3.931935142
63.14063141,6.012379309
63.30463305,2.770584966
63.46863469,6.686580203
63.63263633,3.623811425
63.79663797,7.770446366
63.96063961,2.361288248
64.12464125,4.856908534
64.28864289,5.120012953
64.45264453,7.066313636
64.61664617,3.005686622
64.78064781,4.136471085
64.94464945,4.520421831
65.10865109,8.457188617
65.27265273,2.178824396
65.43665437,1.222615246
65.60065601,4.876506934
65.76465765,3.258251725
65.92865929,0.652977118
66.09266093,3.325116029
66.25666257,1.729140666
66.42066421,4.853114256
66.58466585,2.190637875
66.74866749,5.032868178
66.91266913,3.948503577
67.07667077,5.601433394
67.24067241,2.775519959
67.40467405,3.377126473
67.56867569,2.731000864
67.73267733,6.790159043
67.89667897,2.306246662
68.06068061,4.55445507
68.22468225,3.768602213
68.38868389,5.85311161
68.55268553,4.118369363
68.71668717,2.789245346
68.88068881,2.017447926
69.04469045,1.742983181
69.20869209,2.883670129
69.37269373,2.50698759
69.53669537,0.635377914
69.70069701,3.314012946
69.86469865,3.240538352
70.02870029,3.832000939
70.19270193,2.22404088
70.35670357,3.955168544
70.52070521,4.106008452
70.68470685,1.778182925
70.84870849,2.259823679
71.01271013,5.824052139
71.17671177,3.828413951
71.34071341,4.730371949
71.50471505,4.722307889
71.66871669,4.270095583
71.83271833,4.928871695
71.99671997,3.181797239
72.16072161,2.479685428
72.32472325,2.502968784
72.48872489,2.042158773
72.65272653,2.022909464
72.81672817,1.112185959
72.98072981,3.190608605
73.14473145,3.163978744
73.30873309,2.524921901
73.47273473,3.316837918
73.63673637,3.269765933
73.80073801,2.230385451
73.96473965,1.139407558
74.12874129,3.388365348
74.29274293,3.954301389
74.45674457,3.810705422
74.62074621,3.856412059
74.78474785,5.329859797
74.94874949,2.856267415
75.11275113,4.908832218
75.27675277,2.181360603
75.44075441,4.682552214
75.60475605,1.679342792
75.76875769,1.109219998
75.93275933,2.568582612
76.09676097,3.385752325
76.26076261,3.957255291
76.42476425,1.840647538
76.58876589,1.795174323
76.75276753,4.204069024
76.91676917,2.657921071
77.08077081,0.446784426
77.24477245,1.831812689
77.40877409,4.1142232
77.57277573,3.307351625
77.73677737,2.970199379
77.90077901,3.922956275
78.06478065,4.922013129
78.22878229,2.151368438
78.39278393,4.488318239
78.55678557,1.863377702
78.72078721,5.143329715
78.88478885,0.325744366
79.04879049,1.673271226
79.21279213,2.346651203
79.37679377,3.332328205
79.54079541,3.217202736
79.70479705,1.9867391
79.86879869,2.003323363
80.03280033,3.472739983
80.19680197,1.353811417
80.36080361,1.304859071
80.52480525,3.5401972
80.68880689,2.360571765
80.85280853,2.353541556
81.01681017,3.519648207
81.18081181,3.80644459
81.34481345,3.732876659
81.50881509,3.528321372
81.67281673,4.444458877
81.83681837,1.338895968
82.00082001,3.453300846
82.16482165,1.087823223
82.32882329,2.572253382
82.49282493,2.275413528
82.65682657,2.766238942
82.82082821,2.651175762
82.98482985,2.925184209
83.14883149,1.245645728
83.31283313,3.122816345
83.47683477,1.347489967
83.64083641,2.283804645
83.80483805,2.352976097
83.96883969,1.728839707
84.13284133,3.375160002
84.29684297,3.491248989
84.46084461,3.077837104
84.62484625,3.196053058
84.78884789,4.121907676
84.95284953,3.26350094
85.11685117,2.089056393
85.28085281,2.977266247
85.44485445,1.942457298
85.60885609,1.493940885
85.77285773,1.90385101
85.93685937,4.264894491
86.10086101,2.257445491
86.26486265,2.744822215
86.42886429,2.232374888
86.59286593,2.41775806
86.75686757,3.018843629
86.92086921,2.935698156
87.08487085,0.784029807
87.24887249,2.537170403
87.41287413,2.651601188
87.57687577,3.500365739
87.74087741,3.182089907
87.90487905,3.30715642
88.06888069,2.878370658
88.23288233,3.973319689
88.39688397,2.563191176
88.56088561,2.658384554
88.72488725,2.247960598
88.88888889,0.704692964
89.05289053,2.25526938
89.21689217,3.520246974
89.38089381,1.274335152
89.54489545,1.582641977
89.70889709,3.224217746
89.87289873,1.943919916
90.03690037,2.311806505
90.20090201,1.196768642
90.36490365,0.771922264
90.52890529,2.186389537
90.69290693,2.402767719
90.85690857,3.064834952
91.02091021,2.694769219
91.18491185,4.196317829
91.34891349,2.535266307
91.51291513,2.659882791
91.67691677,1.99911129
91.84091841,4.122093915
92.00492005,1.184668696
92.16892169,0.592618454
92.33292333,2.394697056
92.49692497,3.233414057
92.66092661,0.776476934
92.82492825,1.310567707
92.98892989,1.647939336
93.15293153,1.359934821
93.31693317,0.923102854
93.48093481,1.208990043
93.64493645,1.220606521
93.80893809,1.943091845
93.97293973,1.431985404
94.13694137,3.463658781
94.30094301,1.169156421
94.46494465,4.492607695
94.62894629,3.215673729
94.79294793,0.958433324
94.95694957,1.015033656
95.12095121,4.1808794
95.28495285,0.547244063
95.44895449,0.694443031
95.61295613,1.166283106
95.77695777,3.268527851
95.94095941,1.714358941
96.10496105,1.971880033
96.26896269,0.525985718
96.43296433,2.762935859
96.59696597,1.861322812
96.76096761,1.506467186
96.92496925,1.358828124
97.08897089,0.911037993
97.25297253,2.930265417
97.41697417,1.720388259
97.58097581,0.557143501
97.74497745,4.179851804
97.90897909,2.763201105
98.07298073,0.923453199
98.23698237,1.389142566
98.40098401,2.570713242
98.56498565,0.608607809
98.72898729,2.330172938
98.89298893,0.872139186
99.05699057,1.804356417
99.22099221,2.513717371
99.38499385,2.436180523
99.54899549,0.502767031
99.71299713,2.192135722
99.87699877,0.467791368
100.0410004,0.713838197
100.2050021,1.85505797
100.3690037,1.053017594
100.5330053,3.801216632
100.697007,0.683240505
100.8610086,2.325745168
101.0250103,3.148185736
101.1890119,1.326941899
101.3530135,2.353657714
101.5170152,3.491163435
101.6810168,2.236834345
101.8450185,0.514473124
102.0090201,3.817284264
102.1730217,1.981249638
102.3370234,0.98843437
102.501025,2.241431907
102.6650267,3.489581665
102.8290283,1.428222928
102.9930299,2.383324001
103.1570316,0.512903937
103.3210332,1.204901058
103.4850349,1.383926779
103.6490365,1.728417628
103.8130381,2.306158316
103.9770398,0.967783865
104.1410414,3.100005424
104.3050431,1.678809314
104.4690447,1.646144829
104.6330463,3.374115858
104.797048,3.515554665
104.9610496,1.692511346
105.1250513,0.693304332
105.2890529,2.818743325
105.4530545,3.468227957
105.6170562,0.667749164
105.7810578,2.302817426
105.9450595,2.9230341
106.1090611,2.565248026
106.2730627,2.451437024
106.4370644,1.289097402
106.601066,0.953219804
106.7650677,0.490567981
106.9290693,0.247761162
107.0930709,1.378839215
107.2570726,0.781064531
107.4210742,3.012050021
107.5850759,0.44848913
107.7490775,0.561404118
107.9130791,1.805499285
108.0770808,1.613524059
108.2410824,0.905501107
108.4050841,0.47857331
108.5690857,0.876958223
108.7330873,2.616104594
108.897089,2.758927836
109.0610906,1.846909001
109.2250923,1.780528933
109.3890939,3.098350207
109.5530955,1.785042873
109.7170972,1.542283782
109.8810988,3.743945596
110.0451005,1.567172479
110.2091021,1.824987623
110.3731037,2.507595707
110.5371054,1.247975879
110.701107,3.045247381
110.8651087,1.496960852
111.0291103,1.50043821
111.1931119,2.032189431
111.3571136,3.011387998
111.5211152,0.321582757
111.6851169,1.311645176
111.8491185,1.563963606
112.0131201,2.124172893
112.1771218,2.391587846
112.3411234,2.710800784
112.5051251,3.342459524
112.6691267,1.287203416
112.8331283,2.001666878
112.99713,1.657807328
113.1611316,3.578526608
113.3251333,2.04020116
113.4891349,1.864083761
113.6531365,0.521667674
113.8171382,2.068565765
113.9811398,2.295339958
114.1451415,1.559240639
114.3091431,2.528565692
114.4731447,1.20567168
114.6371464,1.884076689
114.801148,0.642122416
114.9651497,1.229148584
115.1291513,1.480372213
115.2931529,0.894340656
115.4571546,2.030072707
115.6211562,2.560860401
115.7851579,3.684145253
115.9491595,1.605568096
116.1131611,0.959262816
116.2771628,1.865665218
116.4411644,2.985253633
116.6051661,0.8485414
116.7691677,1.939564919
116.9331693,0.250922789
117.097171,2.378369018
117.2611726,2.205547166
117.4251743,1.53879003
117.5891759,1.476930329
117.7531775,0.311987237
117.9171792,0.723729002
118.0811808,0.735711223
118.2451825,3.124715119
118.4091841,0.218227204
118.5731857,1.693485374
118.7371874,3.349222821
118.901189,1.003008794
119.0651907,4.051420208
119.2291923,3.406141486
119.3931939,0.629802277
119.5571956,2.606525865
119.7211972,4.069704539
119.8851989,0.757492488
120.0492005,2.222887003
120.2132021,1.618466789
120.3772038,1.724161017
120.5412054,1.118849728
120.7052071,1.666084193
120.8692087,1.66886434
121.0332103,1.062881772
121.197212,0.2913335
121.3612136,0.636907881
121.5252153,3.568155599
121.6892169,1.170848054
121.8532185,4.065740663
122.0172202,1.888440933
122.1812218,1.118227575
122.3452235,3.880966382
122.5092251,3.624106032
122.6732267,1.301614768
122.8372284,3.210540745
123.00123,3.348034051
123.1652317,2.072137442
123.3292333,1.855904225
123.4932349,2.119461636
123.6572366,1.606188266
123.8212382,1.178517728
123.9852399,2.385431725
124.1492415,1.118688887
124.3132431,0.921858604
124.4772448,1.24631746
124.6412464,0.648893311
124.8052481,2.288610059
124.9692497,1.096898165
125.1332513,3.933413289
125.297253,1.675866196
125.4612546,1.065773837
125.6252563,4.188260694
125.7892579,2.238956958
125.9532595,2.03620191
126.1172612,3.068659477
126.2812628,1.715861664
126.4452645,1.729731363
126.6092661,1.976248245
126.7732677,1.272121688
126.9372694,0.62308016
127.101271,0.743209152
127.2652727,1.575169709
127.4292743,1.718389418
127.5932759,2.69256214
127.7572776,2.041059324
127.9212792,1.549606135
128.0852809,2.607889614
128.2492825,1.976958555
128.4132841,3.405820934
128.5772858,1.227831323
128.7412874,2.123088326
128.9052891,4.656259768
129.0692907,2.313426188
129.2332923,1.890243696
129.397294,3.005989067
129.5612956,2.328279213
129.7252973,2.806151367
129.8892989,2.189345007
130.0533005,1.132568321
130.2173022,2.049303505
130.3813038,1.412258961
130.5453055,1.419165173
130.7093071,1.866630895
130.8733087,1.924410218
131.0373104,2.41355793
131.201312,1.661889151
131.3653137,1.317906788
131.5293153,2.704798233
131.6933169,2.704100742
131.8573186,0.150756646
132.0213202,2.06231726
132.1853219,3.298916085
132.3493235,1.745444915
132.5133251,2.881740285
132.6773268,1.001951242
132.8413284,1.030564075
133.0053301,2.908021706
133.1693317,1.796362046
133.3333333,1.143206619
133.497335,2.593482342
133.6613366,1.929883549
133.8253383,1.366929559
133.9893399,2.704225851
134.1533415,2.281748929
134.3173432,1.226849234
134.4813448,2.289709096
134.6453465,1.478658668
134.8093481,2.328075093
134.9733497,1.779107461
135.1373514,0.110555607
135.301353,1.140880607
135.4653547,3.073049613
135.6293563,1.392089267
135.7933579,2.65750712
135.9573596,0.427966078
136.1213612,1.14589503
136.2853629,1.80488986
136.4493645,1.954179338
136.6133661,0.980761962
136.7773678,2.541485071
136.9413694,1.898123923
137.1053711,1.438442869
137.2693727,4.264826843
137.4333743,2.288763838
137.597376,2.003069836
137.7613776,2.070209602
137.9253793,2.260651044
138.0893809,2.228328074
138.2533825,2.880140253
138.4173842,1.47959531
138.5813858,0.914003109
138.7453875,2.417246942
138.9093891,0.899735263
139.0733907,2.089022235
139.2373924,1.046211547
139.401394,1.141070128
139.5653957,0.836780779
139.7293973,1.875434135
139.8933989,2.003299784
140.0574006,2.153756478
140.2214022,0.95910073
140.3854039,2.63967834
140.5494055,3.225146763
140.7134071,0.871565165
140.8774088,3.690456299
141.0414104,1.876240237
141.2054121,1.238903983
141.3694137,2.922919745
141.5334153,3.006534869
141.697417,3.087502374
141.8614186,1.076938846
142.0254203,1.064442936
142.1894219,2.09464197
142.3534235,2.920619814
142.5174252,0.515714809
142.6814268,0.51058077
142.8454285,0.373235219
143.0094301,2.501662409
143.1734317,1.692659649
143.3374334,1.536303524
143.501435,2.009379197
143.6654367,1.418710456
143.8294383,3.082095253
143.9934399,0.71545299
144.1574416,3.738147556
144.3214432,0.796660904
144.4854449,1.219475495
144.6494465,1.882471823
144.8134481,2.487707759
144.9774498,2.490918685
145.1414514,0.605818429
145.3054531,0.542735902
145.4694547,2.383104935
145.6334563,2.39596566
145.797458,1.397927886
145.9614596,0.82547273
146.1254613,0.350952451
146.2894629,1.88265995
146.4534645,1.007237629
146.6174662,2.796860017
146.7814678,1.371304445
146.9454695,1.179667639
147.1094711,2.754604596
147.2734727,1.112034459
147.4374744,3.321256271
147.601476,1.265158537
147.7654777,1.03949047
147.9294793,1.614288743
148.0934809,2.600354599
148.2574826,1.315861518
148.4214842,0.6481057
148.5854859,0.774425596
148.7494875,2.683801111
148.9134891,0.467573801
149.0774908,0.087981751
149.2414924,2.04007943
149.4054941,2.219759918
149.5694957,1.629461548
149.7334973,1.655472963
149.897499,1.583916656
150.0615006,4.063661458
150.2255023,3.837494671
150.3895039,0.265419817
150.5535055,1.834685139
150.7175072,5.253932239
150.8815088,1.229850781
151.0455105,2.795396468
151.2095121,2.486213592
151.3735137,3.245074724
151.5375154,2.091662118
151.701517,1.429162533
151.8655187,1.703865533
152.0295203,3.009416725
152.1935219,1.562873699
152.3575236,2.012408874
152.5215252,1.162421896
152.6855269,2.287853439
152.8495285,2.65444478
153.0135301,0.586295531
153.1775318,0.317274645
153.3415334,4.367139264
153.5055351,3.370760668
153.6695367,1.688153101
153.8335383,2.365819587
153.99754,4.64837157
154.1615416,1.538505669
154.3255433,3.350499023
154.4895449,2.166742724
154.6535465,2.492648335
154.8175482,1.894563594
154.9815498,3.025670449
155.1455515,1.851849957
155.3095531,2.150425946
155.4735547,1.852012371
155.6375564,1.98200666
155.801558,0.743938135
155.9655597,1.821209927
156.1295613,2.426401546
156.2935629,1.368803338
156.4575646,0.603361129
156.6215662,3.335586428
156.7855679,1.638078157
156.9495695,3.13206431
157.1135711,2.254390628
157.2775728,1.91867242
157.4415744,1.392803873
157.6055761,2.69421439
157.7695777,0.804271671
157.9335793,0.958458375
158.097581,0.718805545
158.2615826,2.55496561
158.4255843,0.436608812
158.5895859,0.928938683
158.7535875,0.973701308
158.9175892,0.982683432
159.0815908,1.260454775
159.2455925,0.430111095
159.4095941,1.871948966
159.5735957,1.214066943
159.7375974,0.443278773
159.901599,3.349343708
160.0656007,1.304555665
160.2296023,2.560214584
160.3936039,2.450133873
160.5576056,2.458409429
160.7216072,1.199164656
160.8856089,1.946856487
161.0496105,1.297344395
161.2136121,2.150431626
161.3776138,0.89297393
161.5416154,1.299149998
161.7056171,1.785875592
161.8696187,1.937638422
162.0336203,1.535221652
162.197622,1.380460558
162.3616236,1.27140542
162.5256253,0.660651579
162.6896269,2.793831687
162.8536285,0.723688125
163.0176302,2.269768417
